Prose,FB
Chapter,Summary
AI-driven Customer Decision Hubs increasingly rely on predictive propensity models to personalize Next-Best-Actions at the individual customer level.a,Make this more like companies increasingly realy on machine learning models to personalise Offerings at the individual customer level.
"While these systems optimize business value through automated prioritization, the underlying propensity models are often per- ceived as black boxes by marketing and governance stakeholders.",The While has nothin to do with centence that follows. Also add that business value like Click trough rate or conversions are optimized trough automated prioritization of offers to clients. At the same time these models that estimate the probabilities are perceived as black boxed by marketing and governance stakeholders.
"This research investigates how offer-level propensity models in a large European passenger airline can be explained in a faith- ful, stable, and stakeholder-actionable manner.",Stakeholder-actionable is bit flashy here. 
"Treating the production model as a black-box prediction function, the study evaluates post-hoc explanation techniques-including SHAP-based feature attributions and interpretable surrogate models-at both global and local levels",Add here that we use shap based and lime based and a shallow decision tree to create feature importances at a global level. I dont think we do at a local level right? 
"Explana- tions are systematically assessed for faithfulness and stability across time,and route subgroups.","Also culture subgroups, and motivate this a bit. That we split it across splits relevant for the industry, because we would lik to see if the modes rely on different features in different splits. E.g over time for seasonality, or across subgroups defined by either customer level data or fleight level data."
"The outcome is a structured way to evaluate these explanation methods that treats the airline CDH environment as a stress test for standard XAI assumptions (feature correlation, exposure bias, and multi-model architecture), and provides evidence-based guidance on which methods are more and less reliable under those conditions, rather than a claim that any single method can be trusted outright.","Multi-model architecture is not an XAI assumption is it? we can maybe say continuously updating or something. We also show that when we can trust the explanations, what kind of insigths this could provide for marketing, strategy and governence stakeholders in a real production environment"
Chapter,Discussion.
"The instability- attribution diagnostic shows that under controlled same-window conditions, where neither the propensity distribution nor the active model snapshots shift meaningfully, the dominant source of observed ranking instability is the explanation method itself.","Can we add here that it shows the kind of explanations you get will depend on the method you end up using, which is not ideal in business context"
"he pattern replicates across three further offer variants on temporal and route splits; the one place L5B15 diverges from the replication set is the customer-culture split, where the third-party offers exhibit substantial culture-conditional propensity shifts that the luggage variant does not.","Can we go into not just what happends but why we think this happens. And exhibit culture conditional propensity shifts is a bit heavy wording. Can we simplify, and explain what this means? For third pary offerings the propensity distribution is just way more different across cultural splits compared to how luggage models model propensity or somethign."
"The fidelity result is, in one reading, unsurprising: a flexible gradient-boosted ensemble trained directly on logged scores would be expected to reproduce those scores reasonably well.","I dont like the ""in one reading"" "
"What matters here is not the level itself but its consequence for the rest of the pipeline. Because SHAP and LIME operate on the surrogate g, every attribution they emit is downstream of g’s approximation of f.","Dont like the word EMIT, change into PRODUCE or something simpler. "
"Downstream attribution results for Cartrawler are accordingly interpreted with that fidelity caveat, not as ev- idence on equal footing with the other variants.",That last subcentence can be simplified a bit. Now its quite flashy
"A Gaussian Naive Bayes baseline, architecture-matched to Pega’s internal model, lags behind every tree-based candidate on the fidelity suite. This is in line with a general theme in the interpretability literature (Molnar, 2025), that a surrogate constrained to the black-box model’s own functional class is not necessarily the best approximator of its input-output behaviour, particularly when feature interactions and high-cardinality categoricals are involved.",I dont think this is stated in the interpratibility literature is it?
"First, Pega ADM’s online learning produces a continuously evolving Naive Bayes that, viewed as a single input-output function over the observation window, behaves like a mixture rather than a single classifier; a flexible surrogate captures the mixture more faithfully than any single-snapshot Naive Bayes can.","This is a really good explanation, but the punctuation and way the centence is structured is way to expressive. Can we split across centences, and make this a bit more MSC level than Literature level"
"Second, Pega’s bin-based handling of categoricals collapses information that CatBoost’s native ordered target encoding preserves","Here we say native target encoding, but i thought the categaorical features are nativaly endoed not the targets? Because the target is continuous right?"
"Because those splits share an observation window, both δd and δm are constrained to be small by design; any remaining ranking instability isolates the contribution of the explanation method.",Dont use so many semicolons in the discussion. 
"For organisations deploying explainability tooling on Pega ADM or similar continuously-updating CDH systems, five implications follow","Here, to much pega jargon about ADM and CDH. Can we write this more general? E.g. continuously updating modelling or something"
"Marketing stakeholders expecting the model to key on loyalty tier or demographics should be told plainly that, for this offer, it does not, and why","This is a really akward centence. Write more like if marketing stakeholdesr where to ask what customer features the model relies on for this offer? The answer is simply, none customer features"
"A separate and cautionary finding is that one of the model’s most influential predictors, the staff-standby flag, is important because its populated-ness proxies for record completeness rather than because it carries behavioural signal, a reminder that in a self-selecting feature space faithful attribution and behavioural meaning can diverge, and that high-importance predictors should be checked against their own missingness before being trusted in governance","This is a long centence, can we splits it up into more bite sized chuncks"
Final sythesis,"some places its nice the use of simicolons, but in tother palces it is way to much, can we tone down on it a bit."