PROSE,COMMENTS
The deployment of AI-driven Customer Decision Hubs (CDHs) has fundamentally reshaped how organisations personalise customer interactions at scale.,"Here CDH’s  are not really a thing. It’s only a thing in the context of the vendor Pega. So can we make it a bit more general maybe. This is how they describe it themselves: Pega CDH (Customer Decision Hub) is an AI-powered, real-time decisioning engine that acts as an ""always-on brain"" for businesses. It analyzes customer data across all channels (web, mobile, call centers, and branches) to deliver hyper-personalized, ""next best actions"" and offers in real-time. But in our own words"
Within platforms such as Pega CDH propensity scores are combined with contextual weight- ing and economic values levers to drive fully automated offer prioritization,"This is good, I only don’t like how we don’t introduce pega. We gotta say like Pega is a: Pega (developed by Pegasystems) is a low-code software platform used by large enterprises to automate complex workflows, streamline business operations, and drive AI-powered customer interactions. But in our own words"
"owever, these assumptions are frequently violated in real-world customer decisioning environments",Here can we make customer decisioning environment a bit more clear. 
"n particular, propensity models in CDH systems operate on observational data shaped by prior system decisions, feature spaces with substantial correlation, and model architectures that update continuously as new evidence accumulates.","I don’t like using CDH wording so much, maybe we can use the general language of these models a bit more in the introduction. Because CDH is a like only applicable to PEGA. "
"This setting instantiates precisely the conditions that motivate this research: features are domain-specific and correlated, outcomes are exposure-biased by prior system decisions, dis- tributions shift across seasons and route categories, and separate propensity models operate per offer. ","I don’t like the word instantiates, but the rest is fine. "
"The primary empirical focus is a luggage add-on propensity model operating in the Email/Outbound channel (one offer model within this portfolio), with two additional luggage weight variants included as replication checks to assess whether findings generalize across mod- els that share the same feature space but maintain independently-updating model instances. ","This is no longer up to date, because we do one other luggage variant and two third party offerings, to see the results in a similar feature space and two other features spaces."
 further distinguishing characteristic of this setting is that Pega ADM updates its Naive Bayes model continuously via online learning: ,"Here we haven’t introduced ADM yet, and the fact that the model uses Naive Bayes. We got to massage this in a bit more, not just drop it. Pega Adaptive Decision Manager (ADM) is a self-learning AI component used within the Pega platform. It continuously predicts customer behavior and adapts decisioning rules in real time without needing historical training data. It powers highly personalized 1:1 customer engagement strategies."
"ore than 1,500 distinct model versions were active across the L5B15 scoring events alone, mean- ing different customers were scored by different model snapshots.","Here as well, we just drop L5b15 out of nowhere. Mention it first, or leave it general."
"The production propensity model is accessed exclusively through its logged output scores, reflecting the realistic constraint that model internals and live APIs are inaccessible to practitioners. ",Here we don’t explain what an API is. WE can also say that we cannot query the model itself. To use these methods.
"by monitoring the black-box propensity score distribution with a Kolmogorov–Smirnov statistic and tracking model snapshot overlap via Jaccard similarity on the set of active model-version identifiers, the observed explanation instability is decomposed into three sources: explainer sensitivity, feature distribution shift, and model version chur",Here maybe don’t mention KS and Jaccard. And just keep it simple that we track how the model changes and we track how the distribution changes
"This thesis makes contributions at two levels. Methodologically, we propose a reusable evalua- tion protocol for assessing explanation fidelity and stability in observational CDH environments, combining surrogate approximation error with a three-way instability attribution. The primary methodological contribution is a structured instability attribution protocol that decomposes ob- served explanation ranking shifts into three sources: explainer sensitivity, feature distribution shift (monitored via the two-sample Kolmogorov–Smirnov statistic on the propensity score dis- tribution), and model version churn (proxied by the Jaccard overlap on the set of active model- version identifiers). This three-way diagnostic allows practitioners to assign instability to its source rather than conflating them, which to our knowledge has not been operationalised in this form within CDH evaluation frameworks.","In this contributions part, can we frame it a bit more like, there a many different methods to create explanations, so this makes it hard for practitioners to choose which to trust. In this study we check three common ones, how and when they change their explanations, and if they do so, why? Data, model, or method. A real deep sensitivity in this setting on what methods to trust. Would that be more convincing? I do like the text we had, but maybe we can combine it a bit."
are offer-specific or consistent across models sharing the same feature space.,"Here we have an offer that shares a similar feature space, and two that share a more different feature space."
Thesis outline,"I think this is no longer up to date, please check what the structure is an update accordingly. Make it readable and simple, now the centences are really long in the outline, and hard to follow"
"instead, only logged tuples (Xi,pi) are observed from historical decision data. ",Should we also introduce what the indexing means here?
"Figure 1: Overview of the methodology. Pega ADM decisioning logs are used to train a surrogate model g, which serves as the prediction oracle for three explanation methods. Each method is evaluated on fidelity against logged propensity scores and stability across experimental splits. Observed instability is decomposed into three sources as the primary methodological contribu- tion.",Should we expand the figure to also include RQ4 the replications. And maybe even RQ5 in a nice way?
"This restriction is deliberate: Pega ADM automatically selects and deactivates predictors based on their evidential contribution, disabling those whose association with the target falls below an internal threshold. ",Use different word then evidential
"Scoring parameters are populated at scoring time rather than read from a customer record, so the parquet column underlying the CatBoost categorical encoding has no row-level absence to count (indicated with a dash in the appendix table). ","What is this about? The scoring parameter is also just a predictor I thought? What do you mean here? That there is no missingness or it’s all missing, I don’t get it."
"The target variable is the Pega ADM propensity score p ∈ [0,1], representing the model’s estimated purchase probability at the moment of scoring.","We never do purchase probability, we only do click trough rate probability. Maybe also introduce the concept of propensity here. That is term used in PEGA. And they call this a propensity score."
"Each scoring event is logged with a model-version identifier denoting which snapshot produced the propensity score, alongside descriptive metadata on the number of customer responses and the model’s AUC at the time. ","Here we mention AUC, but we don’t use it really anywhere in the thesis right? Maybe leave it out then"
"ree depth is treated as a tuning parameter selected independently per variant via five-fold cross-validation on Spearman ρS over depths 1 to 15, using 200 boosting iterations during the depth sweep and 500 for the final fit. ","We used tree depth as a tuning parameter, but should we have used other tuned other parameters or hyper parameters as well? I don’t think we did. "
"the selected depth is the smallest value whose mean ρS falls within one fold-to-fold standard deviation of the CV maxi- mum, operationalising the principle that when several depths are statistically indistinguishable from the best, the simplest should be preferred.","Here did we define already what the rho_s means? Should we mention it is spearman. Maybe we already did, but just to check this doesn’t fall from the air."
"Because the decision tree is implemented via scikit-learn rather than CatBoost, categorical features are encoded using ordinal encoding prior to fitting.",Should we massage in  bit what scitkit learn is? Like the python library or something.
"SHAP (SHapley Additive exPlanations) decomposes each prediction into an additive sum of feature contributions grounded in cooperative game theory (S. Lundberg & Lee, 2017). For a prediction qi = g(Xi), SHAP assigns each feature j a scalar value φj(Xi) such that","For shap here we use Phi but we also used that for the explanations earlier, is to coherent notation or does this conflict because we use the same function for two different things?"
No quote,"For lime & the Decision tree should we also include a formula just like shap to show how these explanations are derived? Because also for the decision tree we explain how the we fit it, but not how we extract explanations from them, and that is the goal here isn’t it?"
"ocal fidelity is measured as the R2 of LIME’s linear fit for each individual instance, capturing how well the linear approximation describes g’s behaviour in that neighbourhood. Unlike thelobal fidelity metrics in Section 2.1, this is an instance-level quantity reported as a distribution with its mean and standard deviation across all evaluated instances","Regarding this, did we actually check this? If yes, keep it. But I don’t think we structurally check this."
"where Ri and Ti denote the ranks of pi and qi respectively, and  ̄R,  ̄T are the corresponding mean ranks.",What does mean rank even mean here?
Kendall’s τb accounts for tied ranks and is defined as,Here should we motivate why we use Tao_b. Because it accounts for tied ranks which we have. 
"KS operates directly on empirical CDFs without any binning or smoothing parameter, making it robust to this artefact. ",Here we say ecdf’s but we did not define the acronym yet
The PSI bin-sensitivity analysis is documented in Appendix A.5 as a transparency check.,"IS transparency check the right wording, maybe sensitivity is better here? I don’t know"
threshold that corresponds to a maximum ECDF gap of ten percentage points and is consistent with standard drift-detection practice.,"Is this standard practice? I can’t find a source about this. So leave it out, or find really a source that mentions this. Or can we think of another motivation"
Model version churn δm is proxied by the Jaccard overlap between the sets of model snapshot identifiers active in each split:,"Here we define Jaccard overlap again, but we kind of defined it ealier but with different symbols. Is that really neccesairy? I mean now it’s really clear of course which I like so we can decide to keep it. But if it’s too double up maybe we can just refer that we do it in a similar way."
This limitation is mitigated by a structural property of the route and culture splits used in this study. ,Mitigated by the structure property of the splits used in this study in RQ3 I believe
KS was chosen over PSI because Pega ADM maps log-odds scores to propensities via an isotonic calibration step that produces a step function:,"Here PSI gets dropped out of nowhere, should we introduce it first?"
The PSI bin-sensitivity analysis is documented in Appendix A.5 as a transparency check.,Is transparency check the right wording here?
a threshold that corresponds to a maximum ECDF gap of ten percentage points and is consistent with standard drift-detection practice.,"I would need to ad a source here if its truly consistent with standard drift detection practice. So either we drop it and motivate it otherwise. Or find a source, but I have not been able to find that yet."
Model version churn δm is proxied by the Jaccard overlap between the sets of model snapshot identifiers active in each split:,"Here we introduce Jaccard overlap again but with different symbols. I like that it is then clear what is checked, but be critical is it not to much double up. Because we already defined Jaccard above but for other variables ."
This limitation is mitigated by a structural property of the route and culture splits used in this study.,Here we should mention we are referring to the splits we define later in 2.6. Otherwise the reader does not know yet what we are talking about right?
This pattern-based attribution does not claim causal precision but provides a principled and transparent basis for interpreting explanation instability in production CDH environments.,"Here I don like principled, can we make it more clear. I do like the disclaimer here but now it’s a bit too flashy"
"re structured to cover shared origin, shared destination, and no shared element, providing a systematic basis for assessing whether origin or destination drives explanation instability.","Here is says no shared element but actually for that a one they origin and destination are different, but ones origin it the others destination so we can’t fully say that. I do like the rational still so can we just rephrase it a bit like different orginin and destination or something. "
Those four questions deliver the licence RQ5 requires:,"I don’t like the word license. Can we do something like support, or allow us to trust the explanations"
The analysis is purely associative and makes no causal claim about which features cause add-on uptake; it characterises only the im- portance the production model attributes to them.,I like this sentence but don’t use the semicolon. Can we make the sentence a bit more like how a Msc student would write it
"Predictors are then assigned to one of four feature groups, contact history, flight data, booking context, and scoring parameter, using the same grouping as the importance heatmap (Figure 2),",Just mention the grouping no reference to figure 2
"Third, a flagged predictor is probed in the raw data to establish whether the surrogate’s importance attribution tracks the field’s value or its mere populated-ness.","For the third point, the following three measures are really nice, but when we go into the three measures following it becomes really math heavy, should we consider just explaining the measures here, and then doing all the maths in the appendix? Or can we keep it in here, but just make it a bit more readable simple language and easier to follow."
Assumptions and Limitations,"This is good, but is this the right place for assumptions and limitations?In the methods, or should I t be somewhere else?"
"Across the primary rank-based criteria the surrogate reproduces the ordering of Pega’s propensity scores with high fidelity, with τb confirming this concordance at the level of individual pairs.",I don’t like the word concordance. too fancy
Feature Attribution Content,"Should we rename this maybe because we do content in RQ5, but we need to motivate how we aggregate the importances later, so here maybe we can start with that by looking at the categories, and the pattern, which we do well already."
Raw pairwise values are in data/artifacts/l5b15/bootstrap_dt_routes.json.,"In appendix a7, don’t mention this. No need to be here. Keep it academic, not like this."
with routes pinned to the L5B15 set for direct comparability and culture splits added where data permits.,"Here we say where data permits, but does data not permit it everywhere? Then we can leave it out."
so the decision tree is concurrently contributing to ranking instability whether or not the external diagnostic crosses the threshold.,I don’t like the word concurrently. Elaborate of find a synonym.
"Cartrawler route pair 2 shows δLIMEe = 0.367, indicating that LIME’s local perturbation sampling is unusually unstable for that specific subgroup of Cartrawler.","For this one can we indicate that we should take it with a grain of salt, because the Cartrawler fidelity was not great? Or does that not make sense here?"
this section leads with SHAP and LIME and treats the decision tree as a corroborating third witness rather than an equal partner:,"I don’t like this corroborating and witness framing, can we make it simpler and less flashy here."
"Beyond the offer-identity scoring parameter, which carries the single largest share in every method as expected for a feature that encodes which product is being scored, the highest-ranked predictors are overwhelmingly contact-history features: the number of days since the last outbound email and the historical count of prior outbound contacts.","While I like this centence, it’s way too long. Can we split it up to make it easier for readers to follow along. "
"Customer-level attributes, demographics and loyalty profile, contribute nothing, because no customer attribute survives Pega’s active-predictor selection for L5B15 in the first place (Section 2.2).",We mentioned section 2.2. but I don’t understand what we are referring to. Do we explain the feature selection process in pega there? If we do fine to keep. If we don’t maybe elaborate here. Or leave it out
"With those caveats, contact-cadence management is a more plausible lever for this offer than richer customer segmentation, which cannot help at all because no customer attribute was retained as a predictor in the first place. This also tempers a common governance expectation: an audit asking “which customer characteristics drive this offer?” would find that, for L5B15, the honest answer is essentially none.","I really really like this paragraph, but it still reads a bit clunky. So much punctuation. So keep the point made, but a bit simpler and nicer to read. But I really like the estially none thing, and the question."
"Table 12: Test of the missingness-proxy hypothesis for IsStaffStandBy on L5B15. The flag is never true in the sample, and what varies across records is whether the field is populated at all; where it is populated, customer-profile data is far more likely to be present, indicating that the surrogate (and the underlying model) keys on the field’s presence as a proxy for record completeness rather than on staff/standby status itself.","Here in table 12 I don’t like it that we use the italics or whatever for the Isstaffstanby. Also there is quite some quantities in the table we don’t refer to. So we can leave them in my opinion. E.g. the number of record, these two: P(IsStaffStandBy = True) overall 0.0000 P(IsStaffStandBy = True — populated)  0.0000 customer fields in C (excl. prev-flight) Here what does C mean? previous-flight fields in Y And what does Y mean? Should we elaborate or leave out."
Figure 2:,"Upade figure 2, with the non anounamised version"
"The fidelity result is, in one reading, unsurprising: a flexible gradient-boosted ensemble trained directly on logged scores ought to reproduce those scores reasonably well.",Don’t use ought
"Strong rank fidelity on three of four variants is therefore the condition that licenses attribution claims for SHAP and LIME in those settings, not a free-standing result.","Not a free standing results, what do we mean with that? "
"This is consistent with the broader ob- servation in the XAI literature that an explanation pipeline constrained to the black-box model’s own functional class is not necessarily the best surrogate of its input-output behaviour, partic- ularly when feature interactions and high-cardinality categoricals are involved (Molnar, 2025).","Here we cite Molnar, but are we 100% sure he actually said something like this?"
"The stability results sharpen one of the central concerns of the XAI evaluation literature: expla- nations of the same model can diverge across populations even when the populations are drawn from the same data-generating process (Ribeiro et al., 2016; Vilone & Longo, 2020).","Same thing about this statement, should I provide you some more literature so we can enrich this discussion later, because I don’t think we can support these claims. "
"Stability of an explanation is therefore not only a property of the model being explained; it is a property of the explanation method, the surrogate where one is used, and the interaction between the two and the evaluation data.","This is a really good centence, but can we make it a bit easier to read. A little less punctuation. But keep this content because it is really good value"
"The instability-attribution diagnostic operationalises a question implicit in much of the XAI eval- uation literature but rarely answered directly: when explanations of a deployed model disagree across populations, where does the disagreement come from (Molnar, 2025; Vilone & Longo, 2020)?","Again, made up citations, Molnar and vilone said nothing like this right? We can do a literature search later, to enrich the discussion"
"reader familiar with the XAI literature will note that the diagnostic does not claim causal identification. The three sources are proxied by effect-size statistics, not isolated by intervention, and δd and δm are themselves correlated, since the same incoming response data that shifts the feature distribution also drives the online updates. The protocol is best read as an indicative decomposition that surfaces distinctions normally collapsed inside a single instability number, not as a causal account of why a particular ranking moved.","Good notes, but calm down on the words used here. Causal identification, distinctions normally collapsed inside a single instability number, Causal account. "
"Temporal splits classify as Both across all four variants, route splits classify predominantly as Explainer with a small number of reclassifications to Dist. shift on borderline values of δd, and the decision tree’s refit gap remains the largest numerical contributor in route cells even when the formal classification flips.","Here it sound a bit weird saying classify as Both. Can we say the instability is classified as both data and model or something, Now its sound a bit weird. Same can be said for dist.shift, and explainer."
"he substantive reading is more nuanced and is, in some ways, the more interesting result.","I don’t like this centence. Substantive reading, what even is that. Think of something else. Keep it simple. "
"The distinction between the methodological protocol generalising and the substantive feature- level effect being product-context-specific is one of the contributions of including offers from different commercial categories in the replication set rather than only weight-variant luggage offers. A cross-domain replication would also have validated the protocol, but would have offered less information about the diagnostic’s behaviour on offers that share most of the feature space but differ substantively in customer-side response patterns.","This goes over my head completely. Make it more clear, or leave it out. Now I really don’t understand what is being said here. It feels thin and filler. "
he missingness structure those predictors carried is not removed but displaced onto whichever surviving feature correlates with data availability.,I don’t like the use of displaced here. Can we say proxied maybe?
"The decomposition is approximate rather than causal, and the chapter is explicit on that point, but it surfaces a class of distinctions that the existing XAI evaluation literature (Molnar, 2025; Vilone & Longo, 2020) typically does not make.",Class of distinctions is a bit flashy wording here. And also the sources here in the 4.3 are they really valid? Should I provide new sources. Now it feel a bit like trowing shade at Molnar & Longo
"to my knowledge, previously been operationalised inside a CDH evaluation framework.","Can we say “my” . Maybe to informal, maybe author is better>?"
"This points to a small but practically relevant gap in the existing surrogate-modelling literature, which tends to recommend functional-class matching as a default",I this really true? Molnar surely does not say this. Should I look into surrogate modeling literature?
nd the model’s own internal predictor importances are accessible only through the Health Check predictor overview rather than through a queryable interface.,Remove
"A practical consequence is that a contact-frequency or fatigue-management policy, governing how recently and how often a customer has been emailed, is likely to shift propensities more reliably than investment in richer customer features, at least until customer-level predictors accumulate enough evidence to be activated.","This is way to long centence. So split it up so it more readable. And also I want to clearly note here that The customer level predictors are just to sparse right now. So stakeholders shouldlok into improving this, because now its fullyy influenced by recency and fatigue"
"Fifth, high-importance predictors should be checked against their own populated-ness before attribution results are presented for audit.","This is fine, but presented for audit sound very consultant heavy. Simplify."
"This is cheap to detect, comparing the miss- ingness pattern of a top predictor against the availability of the deactivated features, and doing so guards against the governance failure mode in which a model is certified on an explanation that is faithful to the model but misleading about the world.",I follow the first part of this centence. But the second part about governance failure mode goes over my head. 
"More broadly, it argues for treating predictor deactivation and correlation grouping as first-class metadata in any CDH explanation","I get the point, but first class metadata is very flashy. Simplify"
"The Cartrawler variant in particular sits below the level at which downstream attribution claims should be made with confidence; its results are reported and replicated, but their interpretive weight is correspondingly lower.","Good clear sentence, but the interpretive weight is correspondingly lower is a bit too flashy. Simplify"
"A deployment-time evaluation, in which the surrogate-and-attribution pipeline is run alongside the live ADM and fed with the same inputs in real time, would tighten some of the current claims; that was outside scope given access constraints",I don’t understand this. So elaborate or leave out. What is deployment time evaluation. 
"would permit assessment of whether explanation rankings drift coherently or chaotically over time, and whether the instability-attribution diag- nostic produces stable classifications across rolling windows.","Bit too flashy, coherently or chaotically. Less puncitation and simplify, also mention seasonal effects, which is apparent in airlines."
"inally, a comparison between Pega ADM’s online Naive Bayes and an architecturally richer alternative, such as the Adaptive Gradient Boosting model that Pega supports in shadow mode, would address an open question implicit in this thesis. The candidate-surrogate comparison shows that a flexible gradient-boosted surrogate approximates Pega’s logged propensities better than an architecture-matched Naive Bayes can; whether this reflects a model-class gap that would also translate into measurable predictive headroom under live deployment, or an artefact of the evaluation pipeline, is not resolvable from the present data and would require comparative deployment.","Valid point but also way to perforate written down, also shadow mode is dropped out of nowhere, readers don’t know what this is. But yes AGB could be good. Simplify. Also why no future research on customer level features??? Or does that not belong here. Natural progress is to see if we fix customer level feature pipelines if they come up as predictive and improve CTR’s as a result. Are they more predictive then frequency and recency predictors. Is a natural question. Also we can check if we add our own missingness indicator if it overshadows the proxy we identified. "
"Rank-based agreement, the oper- ationally relevant property given that Pega CDH consumes propensities through prioritisation rather than as calibrated probabilities, is strong on the primary L5B15 luggage variant and on the CLUG and BookingDotCom replications, and is weaker on Cartrawler.","Very long centence, split and or simplify. "
"On temporal splits both the propensity distribution and the active model-snapshot set shift substantially,",Should we say data and model drift instead. In line with RQ framing
The methodological protocol therefore generalises across offer variants; the substantive role of any particular feature dimension in driving observed instability is product-context-specific,"Also a bit too flashy, can we simply this a bit. Or elaborate to make it more clear. No semicolon or M dashes."
"This points marketing effort toward contact-cadence management rather than richer segmentation, with the caveat that the importance figures show what the model reacts to, not a guaranteed lever for changing outcomes.","Yeah so the counter argument can also be made to fix the customer level feature data pipelines, or to enrich the data with new customer level features and see if they come up as predictive of CTR."
Other notes,Make sure the title in the summary abstract is up to the date with the front page title
Other notes,Defense date 14 July 2026
,
,
,
,